                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1062,                 4.5871,                 1.7646,                0.53825,                0.18708,                0.19185,                 0.1164,                 1.3229,                 3.1239,                 2.3473,             6.6419e-05,             6.6419e-05,             6.6419e-05
                      2,                0.94982,                 3.3568,                 1.5849,                0.60352,                0.61941,                0.65668,                0.43436,                 1.2267,                 1.7703,                 2.3069,             0.00013177,             0.00013177,             0.00013177
                      3,                 0.8746,                 2.3889,                 1.5023,                0.85256,                0.79926,                0.87524,                0.63414,                 1.0178,                   1.18,                 2.0569,              0.0001958,              0.0001958,              0.0001958
                      4,                0.80966,                 1.8865,                  1.437,                0.92425,                0.84284,                0.92274,                0.66017,                 1.0597,                 1.0486,                 2.0808,             0.00019406,             0.00019406,             0.00019406
                      5,                0.76122,                 1.5882,                 1.3924,                0.93128,                0.84331,                 0.9063,                0.65135,                  1.072,                0.87709,                 2.0686,             0.00019406,             0.00019406,             0.00019406
                      6,                0.72148,                 1.3797,                 1.3539,                0.87502,                0.88858,                0.92627,                0.68053,                 1.0096,                0.79777,                 1.9958,             0.00019208,             0.00019208,             0.00019208
                      7,                0.69152,                 1.2175,                 1.3259,                0.88342,                0.92337,                0.94579,                0.67599,                 1.0209,                0.77055,                 2.0489,              0.0001901,              0.0001901,              0.0001901
                      8,                0.66644,                 1.1071,                 1.3055,                0.89589,                0.96357,                0.96333,                0.69367,                 1.0048,                0.71439,                 2.0264,             0.00018812,             0.00018812,             0.00018812
                      9,                0.65502,                 1.0317,                 1.2903,                0.96251,                0.88633,                0.96164,                0.68671,                  1.025,                0.73208,                 2.0377,             0.00018614,             0.00018614,             0.00018614
                     10,                0.63033,                0.96694,                 1.2704,                0.97031,                0.92556,                0.95226,                0.70954,                0.90756,                0.60984,                 1.8786,             0.00018416,             0.00018416,             0.00018416
                     11,                0.61349,                0.90793,                 1.2557,                0.92465,                0.94792,                0.96687,                0.70216,                0.98299,                0.65752,                 1.9829,             0.00018218,             0.00018218,             0.00018218
                     12,                0.60472,                0.86439,                 1.2473,                0.94523,                0.95486,                0.97611,                0.72117,                 0.9643,                0.58363,                 1.9022,              0.0001802,              0.0001802,              0.0001802
                     13,                0.56871,                0.78158,                 1.2195,                0.92543,                0.96256,                0.97521,                0.72809,                0.90721,                0.57424,                 1.8479,             0.00017822,             0.00017822,             0.00017822
                     14,                0.57863,                0.77214,                 1.2232,                0.92937,                0.94175,                0.97352,                0.73933,                0.89898,                0.58301,                 1.8497,             0.00017624,             0.00017624,             0.00017624
                     15,                0.56251,                0.74808,                  1.209,                0.96811,                0.92129,                 0.9783,                0.73912,                0.88653,                0.56835,                 1.8518,             0.00017426,             0.00017426,             0.00017426
                     16,                0.55407,                0.71275,                 1.2049,                0.87639,                0.97133,                0.96294,                0.73133,                 0.9315,                0.59309,                 1.9174,             0.00017228,             0.00017228,             0.00017228
                     17,                 0.5437,                0.68235,                 1.1951,                0.88198,                0.95968,                0.96517,                0.72219,                0.92384,                0.59828,                 1.8987,              0.0001703,              0.0001703,              0.0001703
                     18,                0.53588,                0.67228,                 1.1889,                0.92312,                0.93353,                0.96101,                0.72527,                0.93567,                0.58538,                 1.9079,             0.00016832,             0.00016832,             0.00016832
                     19,                0.52122,                0.63793,                 1.1804,                0.93191,                0.96154,                0.97314,                0.72224,                0.92804,                 0.5487,                 1.8942,             0.00016634,             0.00016634,             0.00016634
                     20,                0.52666,                0.63265,                 1.1834,                0.93372,                0.96744,                0.97781,                0.72869,                0.92629,                0.52439,                 1.8993,             0.00016436,             0.00016436,             0.00016436
                     21,                0.50849,                0.60059,                 1.1676,                0.92285,                0.98027,                0.98313,                0.73603,                0.89705,                0.55071,                  1.857,             0.00016238,             0.00016238,             0.00016238
                     22,                0.50542,                0.58812,                  1.161,                0.96437,                0.93995,                0.96018,                0.72674,                 0.8797,                0.52775,                 1.8414,              0.0001604,              0.0001604,              0.0001604
                     23,                0.49513,                0.56255,                 1.1586,                0.89543,                0.98276,                0.98395,                0.74443,                0.89922,                0.52052,                 1.8479,             0.00015842,             0.00015842,             0.00015842
                     24,                 0.4871,                0.55087,                 1.1497,                0.88528,                 0.9795,                 0.9792,                0.74503,                0.87776,                0.50416,                 1.8344,             0.00015644,             0.00015644,             0.00015644
                     25,                0.47972,                0.53985,                 1.1415,                0.95187,                0.92298,                0.96711,                 0.7287,                0.87229,                0.51937,                 1.8114,             0.00015446,             0.00015446,             0.00015446
                     26,                0.48375,                0.53627,                 1.1448,                0.94682,                0.95016,                0.98316,                0.74853,                 0.9037,                0.50405,                 1.8761,             0.00015248,             0.00015248,             0.00015248
                     27,                0.48126,                0.51947,                  1.141,                0.93361,                0.96936,                0.98799,                0.73801,                0.91227,                  0.511,                 1.8829,              0.0001505,              0.0001505,              0.0001505
                     28,                0.46608,                0.50436,                  1.135,                0.94229,                0.97265,                0.98076,                0.75823,                0.84695,                0.47167,                 1.8005,             0.00014852,             0.00014852,             0.00014852
                     29,                0.46315,                0.50715,                 1.1291,                0.92849,                0.94301,                0.96164,                0.73069,                0.87353,                0.49372,                 1.8315,             0.00014654,             0.00014654,             0.00014654
                     30,                0.45325,                0.48334,                 1.1213,                0.91207,                0.97676,                0.97779,                 0.7521,                0.83468,                0.48444,                  1.767,             0.00014456,             0.00014456,             0.00014456
                     31,                0.44173,                0.46178,                 1.1094,                0.96307,                0.96941,                0.98547,                0.74826,                0.86431,                0.46965,                  1.825,             0.00014258,             0.00014258,             0.00014258
                     32,                0.45373,                0.46783,                 1.1239,                0.95732,                0.96615,                0.97903,                0.74233,                0.89554,                0.47785,                 1.8364,              0.0001406,              0.0001406,              0.0001406
                     33,                0.44392,                0.45823,                 1.1207,                0.95058,                0.96608,                0.98346,                0.73961,                0.90153,                0.47455,                 1.8716,             0.00013862,             0.00013862,             0.00013862
                     34,                0.44118,                0.45155,                 1.1126,                0.92273,                0.99297,                 0.9909,                0.75125,                0.85206,                0.46029,                 1.8016,             0.00013664,             0.00013664,             0.00013664
                     35,                0.43931,                0.44424,                 1.1075,                 0.9519,                0.96822,                0.99037,                0.76958,                0.82901,                0.44589,                  1.766,             0.00013466,             0.00013466,             0.00013466
                     36,                0.44006,                0.43347,                 1.1169,                0.96231,                0.94664,                0.98167,                0.75376,                0.82856,                0.43954,                 1.7425,             0.00013268,             0.00013268,             0.00013268
                     37,                0.42999,                0.42594,                 1.1017,                0.92903,                0.97677,                0.98473,                0.74526,                0.87754,                0.47113,                 1.8431,              0.0001307,              0.0001307,              0.0001307
                     38,                0.42203,                0.42791,                 1.0976,                0.90798,                0.98219,                0.98621,                 0.7356,                0.90434,                0.48262,                 1.8462,             0.00012872,             0.00012872,             0.00012872
